plantid,period,avg_mw
6179,2001_05,1393.8
6179,2001_06,1449.0
6179,2001_07,1423.4
6179,2001_08,1130.8
6179,2001_09,1426.2
6179,2001_10,1018.9
6179,2001_11,1247.1
6179,2001_12,1284.4
6179,2002_01,1464.6
6179,2002_02,1415.0
6179,2002_03,1338.6
6179,2002_04,1330.8
6179,2002_05,1476.1
6179,2002_06,1443.5
6179,2002_07,1419.2
6179,2002_08,1426.2
6179,2002_09,1368.7
6179,2002_10,954.1
6179,2002_11,1040.2
6179,2002_12,1419.7
6179,2003_01,1563.5
6179,2003_02,1526.7
6179,2003_03,1345.9
6179,2003_04,1377.6
6179,2003_05,1398.8
6179,2003_06,1416.7
6179,2003_07,1379.2
6179,2003_08,1493.6
6179,2003_09,1411.4
6179,2003_10,1453.9
6179,2003_11,1342.7
6179,2003_12,1361.5
6179,2004_01,1357.3
6179,2004_02,1466.3
6179,2004_03,934.0
6179,2004_04,919.2
6179,2004_05,1441.7
6179,2004_06,1415.1
6179,2004_07,1492.9
6179,2004_08,1542.8
6179,2004_09,1290.8
6179,2004_10,1132.2
6179,2004_11,1105.0
6179,2004_12,1468.7
6179,2005_01,1478.7
6179,2005_02,1172.6
6179,2005_03,939.9
6179,2005_04,906.5
6179,2005_05,1199.1
6179,2005_06,1532.6
6179,2005_07,1441.2
6179,2005_08,1503.9
6179,2005_09,1450.8
6179,2005_10,1270.9
6179,2005_11,1140.2
6179,2005_12,1104.1
6179,2006_01,1157.4
6179,2006_02,1197.9
6179,2006_03,880.9
6179,2006_04,1055.3
6179,2006_05,1279.3
6179,2006_06,1329.3
6179,2006_07,1407.9
6179,2006_08,1399.9
6179,2006_09,1179.4
6179,2006_10,962.0
6179,2006_11,704.8
6179,2006_12,1140.9
6179,2007_01,1277.1
6179,2007_02,1375.5
6179,2007_03,1504.2
6179,2007_04,1184.4
6179,2007_05,1288.9
6179,2007_06,1454.7
6179,2007_07,1543.3
6179,2007_08,1561.3
6179,2007_09,1547.7
6179,2007_10,1304.8
6179,2007_11,1159.4
6179,2007_12,1427.4
6179,2008_01,1586.3
6179,2008_02,1547.6
6179,2008_03,952.2
6179,2008_04,1221.5
6179,2008_05,1515.4
6179,2008_06,1583.3
6179,2008_07,1555.9
6179,2008_08,1583.1
6179,2008_09,1375.7
6179,2008_10,1012.9
6179,2008_11,1019.8
6179,2008_12,1344.4
6179,2009_01,1416.5
6179,2009_02,1320.6
6179,2009_03,1162.7
6179,2009_04,1256.5
6179,2009_05,1160.0
6179,2009_06,1457.9
6179,2009_07,1506.1
6179,2009_08,1430.8
6179,2009_09,1323.0
6179,2009_10,1068.1
6179,2009_11,1282.9
6179,2009_12,1531.3
6179,2010_01,1471.1
6179,2010_02,1532.2
6179,2010_03,1296.2
6179,2010_04,945.4
6179,2010_05,1252.4
6179,2010_06,1523.2
6179,2010_07,1527.8
6179,2010_08,1537.2
6179,2010_09,1398.7
6179,2010_10,963.2
6179,2010_11,891.4
6179,2010_12,826.2
6179,2011_01,1103.7
6179,2011_02,1196.2
6179,2011_03,1032.7
6179,2011_04,1312.7
6179,2011_05,1365.1
6179,2011_06,1479.9
6179,2011_07,1528.4
6179,2011_08,1362.2
6179,2011_09,1150.9
6179,2011_10,1151.8
6179,2011_11,1055.9
6179,2011_12,1007.2
6179,2012_01,779.1
6179,2012_02,734.2
6179,2012_03,907.0
6179,2012_04,649.0
6179,2012_05,957.8
6179,2012_06,1272.0
6179,2012_07,1399.1
6179,2012_08,1318.7
6179,2012_09,1148.6
6179,2012_10,740.3
6179,2012_11,724.3
6179,2012_12,722.3
6179,2013_01,1038.5
6179,2013_02,906.5
6179,2013_03,1131.2
6179,2013_04,1282.8
6179,2013_05,1375.7
6179,2013_06,1407.2
6179,2013_07,1325.0
6179,2013_08,1234.3
6179,2013_09,1360.2
6179,2013_10,1218.9
6179,2013_11,827.4
6179,2013_12,1228.8
6179,2014_01,1341.4
6179,2014_02,1338.8
6179,2014_03,1257.1
6179,2014_04,740.1
6179,2014_05,1162.0
6179,2014_06,1327.3
6179,2014_07,1138.8
6179,2014_08,1018.1
6179,2014_09,1137.0
6179,2014_10,922.8
6179,2014_11,699.9
6179,2014_12,650.3
6179,2015_01,909.6
6179,2015_02,699.7
6179,2015_03,781.7
6179,2015_04,827.4
6179,2015_05,1078.0
6179,2015_06,1348.1
6179,2015_07,1428.1
6179,2015_08,1336.8
6179,2015_09,1297.2
6179,2015_10,867.7
6179,2015_11,701.7
6179,2015_12,656.5
6179,2016_01,1047.6
6179,2016_02,746.5
6179,2016_03,800.6
6179,2016_04,1085.4
6179,2016_05,1216.1
6179,2016_06,1501.0
6179,2016_07,1380.6
6179,2016_08,1432.0
6179,2016_09,1412.3
6179,2016_10,899.1
6179,2016_11,892.4
6179,2016_12,1432.8
6179,2017_01,1247.2
6179,2017_02,1192.7
6179,2017_03,1401.1
6179,2017_04,1268.4
6179,2017_05,1164.9
6179,2017_06,1289.8
6179,2017_07,1437.0
6179,2017_08,1384.5
6179,2017_09,1440.5
6179,2017_10,1336.2
6179,2017_11,1232.8
6179,2017_12,1244.7
6179,2018_01,1344.6
6179,2018_02,1116.4
6179,2018_03,953.3
6179,2018_04,939.0
6179,2018_05,974.5
6179,2018_06,1372.1
6179,2018_07,1484.8
6179,2018_08,1471.4
6179,2018_09,1515.0
6179,2018_10,743.2
6179,2018_11,933.0
6179,2018_12,1339.0
6179,2019_01,1408.5
6179,2019_02,1363.0
6179,2019_03,1165.0
6179,2019_04,1004.5
6179,2019_05,1144.5
6179,2019_06,1212.5
6179,2019_07,1198.4
6179,2019_08,1131.7
