permit_id,issued_date,property_type,sqft,est_annual_kwh,permit_class
2020-034251 BP,2020-02-27,single_family,2767,17930,Residential
2020-033779 BP,2020-02-27,single_family,1919,12435,Residential
2020-032701 BP,2020-02-26,single_family,3840,24883,Residential
2020-026196 BP,2020-02-26,adu_accessory,1248,11157,Residential
2020-033107 BP,2020-02-26,single_family,2052,13297,Residential
2020-033539 BP,2020-02-26,single_family,4109,26626,Residential
2020-032875 BP,2020-02-26,education,1536,16100,Commercial
2020-033143 BP,2020-02-26,single_family,2353,15247,Residential
2020-032874 BP,2020-02-26,education,1536,16100,Commercial
2020-032876 BP,2020-02-26,education,1536,16100,Commercial
2020-032780 BP,2020-02-25,single_family,2390,15487,Residential
2020-031079 BP,2020-02-25,single_family,2537,16440,Residential
2020-024305 BP,2020-02-25,single_family,2514,16291,Residential
2020-033167 BP,2020-02-25,single_family,3580,23198,Residential
2020-030188 BP,2020-02-25,single_family,1692,10964,Residential
2020-024243 BP,2020-02-25,single_family,2767,17930,Residential
2020-015724 BP,2020-02-25,single_family,2656,17211,Residential
2020-015699 BP,2020-02-25,single_family,2656,17211,Residential
2020-015711 BP,2020-02-25,single_family,2656,17211,Residential
2020-030190 BP,2020-02-25,single_family,1866,12092,Residential
2020-015659 BP,2020-02-25,single_family,2514,16291,Residential
2020-032729 BP,2020-02-25,single_family,4831,31305,Residential
2020-032601 BP,2020-02-25,single_family,2577,16699,Residential
2020-024282 BP,2020-02-25,single_family,2514,16291,Residential
2020-024266 BP,2020-02-25,single_family,2656,17211,Residential
2020-033181 BP,2020-02-25,single_family,3081,19965,Residential
2020-024274 BP,2020-02-25,single_family,2514,16291,Residential
2020-030189 BP,2020-02-25,single_family,2052,13297,Residential
2020-024255 BP,2020-02-25,single_family,2767,17930,Residential
2020-021496 BP,2020-02-25,single_family,2656,17211,Residential
2020-021481 BP,2020-02-25,single_family,2767,17930,Residential
2020-033198 BP,2020-02-25,single_family,3954,25622,Residential
2020-024221 BP,2020-02-25,single_family,2656,17211,Residential
2020-030187 BP,2020-02-25,single_family,2052,13297,Residential
2020-015650 BP,2020-02-25,single_family,2767,17930,Residential
2020-029648 BP,2020-02-25,single_family,5031,32601,Residential
2020-032763 BP,2020-02-25,single_family,2926,18960,Residential
2020-030193 BP,2020-02-25,single_family,1692,10964,Residential
2020-030192 BP,2020-02-25,single_family,1692,10964,Residential
2020-031084 BP,2020-02-25,single_family,2742,17768,Residential
2020-029735 BP,2020-02-25,single_family,1866,12092,Residential
2020-024235 BP,2020-02-25,single_family,2656,17211,Residential
2020-022467 BP,2020-02-25,single_family,2656,17211,Residential
2020-015644 BP,2020-02-25,single_family,2514,16291,Residential
2020-032654 BP,2020-02-25,single_family,1959,12694,Residential
2020-033155 BP,2020-02-25,single_family,3048,19751,Residential
2020-032637 BP,2020-02-25,single_family,1957,12681,Residential
2020-030141 BP,2020-02-24,single_family,2863,18552,Residential
2020-031070 BP,2020-02-24,single_family,2993,19395,Residential
2020-031006 BP,2020-02-24,single_family,2388,15474,Residential
2020-031154 BP,2020-02-24,single_family,2308,14956,Residential
2020-032610 BP,2020-02-24,single_family,2519,16323,Residential
2020-031118 BP,2020-02-24,single_family,2674,17328,Residential
2020-031052 BP,2020-02-24,single_family,2993,19395,Residential
2020-030361 BP,2020-02-24,parking_garage,9891,12858,Commercial
2020-030753 BP,2020-02-24,single_family,2926,18960,Residential
2020-032721 BP,2020-02-24,single_family,2178,14113,Residential
2020-032773 BP,2020-02-24,single_family,2144,13893,Residential
2020-030739 BP,2020-02-24,office,182250,2853180,Commercial
2020-030856 BP,2020-02-24,single_family,7435,48179,Residential
2020-030763 BP,2020-02-24,single_family,1876,12156,Residential
2020-030362 BP,2020-02-24,multifamily,18848,318545,Commercial
2020-031566 BP,2020-02-24,single_family,1957,12681,Residential
2020-030139 BP,2020-02-24,single_family,2863,18552,Residential
2020-031014 BP,2020-02-24,single_family,2868,18585,Residential
2020-032615 BP,2020-02-24,single_family,3116,20192,Residential
2020-030140 BP,2020-02-24,single_family,3025,19602,Residential
2020-031022 BP,2020-02-24,single_family,2519,16323,Residential
2020-032691 BP,2020-02-24,single_family,3057,19809,Residential
2020-030138 BP,2020-02-24,single_family,2693,17451,Residential
2020-030142 BP,2020-02-24,single_family,2693,17451,Residential
2020-030743 BP,2020-02-24,single_family,2390,15487,Residential
2020-030727 BP,2020-02-24,single_family,2562,16602,Residential
2020-031147 BP,2020-02-24,single_family,2390,15487,Residential
2020-032724 BP,2020-02-24,single_family,2473,16025,Residential
2020-030824 BP,2020-02-24,single_family,2729,17684,Residential
2020-031097 BP,2020-02-24,single_family,2528,16381,Residential
2020-031132 BP,2020-02-24,single_family,2921,18928,Residential
2020-032618 BP,2020-02-24,single_family,3132,20295,Residential
2020-031058 BP,2020-02-24,single_family,2865,18565,Residential
2020-030752 BP,2020-02-24,single_family,2767,17930,Residential
2020-031035 BP,2020-02-24,single_family,2398,15539,Residential
2020-030756 BP,2020-02-24,single_family,1876,12156,Residential
2020-032583 BP,2020-02-24,single_family,2993,19395,Residential
2020-030360 BP,2020-02-24,single_family,2721,17632,Commercial
2020-029773 BP,2020-02-21,single_family,4184,27112,Residential
2020-030183 BP,2020-02-21,single_family,3270,21190,Residential
2020-029883 BP,2020-02-21,adu_accessory,1137,10165,Residential
2020-027482 BP,2020-02-21,single_family,2537,16440,Residential
2020-030132 BP,2020-02-21,single_family,2130,13802,Residential
2020-029904 BP,2020-02-21,single_family,5038,32646,Residential
2020-030178 BP,2020-02-21,single_family,2253,14599,Residential
2020-030181 BP,2020-02-21,single_family,2853,18487,Residential
2020-027492 BP,2020-02-21,single_family,2063,13368,Residential
2020-027488 BP,2020-02-21,single_family,2537,16440,Residential
2020-026770 BP,2020-02-21,single_family,2919,18915,Residential
2020-027300 BP,2020-02-20,single_family,2127,13783,Residential
2020-029638 BP,2020-02-20,single_family,2716,17600,Residential
2020-025390 BP,2020-02-20,single_family,2052,13297,Residential
2020-027436 BP,2020-02-20,single_family,2864,18559,Residential
2020-025330 BP,2020-02-20,single_family,3536,22913,Residential
2020-029619 BP,2020-02-20,single_family,2353,15247,Residential
2020-020432 BP,2020-02-20,single_family,1411,9143,Residential
2020-027552 BP,2020-02-20,single_family,2646,17146,Residential
2020-029632 BP,2020-02-20,single_family,3375,21870,Residential
2020-026652 BP,2020-02-20,single_family,1876,12156,Residential
2020-029777 BP,2020-02-20,single_family,2143,13887,Residential
2020-026431 BP,2020-02-20,single_family,2926,18960,Residential
2020-029606 BP,2020-02-20,single_family,5169,33495,Residential
2020-029792 BP,2020-02-20,single_family,2931,18993,Residential
2020-029782 BP,2020-02-20,single_family,1923,12461,Residential
2020-027291 BP,2020-02-20,single_family,2091,13550,Residential
2020-027459 BP,2020-02-20,single_family,2646,17146,Residential
2020-027309 BP,2020-02-20,single_family,1809,11722,Residential
2020-027954 BP,2020-02-20,single_family,4080,26438,Residential
2020-029788 BP,2020-02-20,single_family,1708,11068,Residential
2020-026662 BP,2020-02-20,single_family,2715,17593,Residential
2020-027444 BP,2020-02-20,single_family,2044,13245,Residential
2020-029761 BP,2020-02-20,single_family,1923,12461,Residential
2020-029897 BP,2020-02-20,single_family,3805,24656,Residential
2020-026757 BP,2020-02-19,single_family,3603,23347,Residential
2020-026752 BP,2020-02-19,single_family,3694,23937,Residential
2020-026110 BP,2020-02-19,single_family,1018,6597,Residential
2020-026750 BP,2020-02-19,single_family,3710,24041,Residential
2020-026754 BP,2020-02-19,single_family,3575,23166,Residential
2020-026675 BP,2020-02-19,single_family,2743,17775,Residential
2020-027172 BP,2020-02-19,single_family,2715,17593,Residential
2020-025555 BP,2020-02-19,multifamily,3008,50837,Commercial
2020-026391 BP,2020-02-19,single_family,2176,14100,Residential
2020-026744 BP,2020-02-19,single_family,3429,22220,Residential
2020-026706 BP,2020-02-19,single_family,3091,20030,Residential
2020-025337 BP,2020-02-19,single_family,3536,22913,Residential
2020-026195 BP,2020-02-19,single_family,2711,17567,Residential
2020-026705 BP,2020-02-19,single_family,2804,18170,Residential
2020-025556 BP,2020-02-19,multifamily,4518,76357,Commercial
2020-026741 BP,2020-02-19,single_family,4123,26717,Residential
2020-026676 BP,2020-02-19,adu_accessory,1248,11157,Residential
2020-026673 BP,2020-02-19,single_family,4003,25939,Residential
2020-026693 BP,2020-02-19,single_family,2804,18170,Residential
2020-027266 BP,2020-02-19,single_family,2765,17917,Residential
2020-026755 BP,2020-02-19,single_family,3437,22272,Residential
2020-026113 BP,2020-02-19,single_family,2937,19032,Residential
2020-027083 BP,2020-02-19,single_family,4031,26121,Residential
2020-025577 BP,2020-02-18,single_family,3586,23237,Residential
2020-026066 BP,2020-02-18,single_family,4781,30981,Residential
2020-025553 BP,2020-02-18,multifamily,4536,76662,Commercial
2020-025599 BP,2020-02-18,single_family,2868,18585,Residential
2020-025576 BP,2020-02-18,single_family,3554,23030,Residential
2020-024694 BP,2020-02-18,single_family,2827,18319,Residential
2020-024930 BP,2020-02-18,single_family,3393,21987,Residential
2020-025584 BP,2020-02-18,single_family,2868,18585,Residential
2020-025005 BP,2020-02-18,single_family,3393,21987,Residential
2020-026046 BP,2020-02-18,single_family,3039,19693,Residential
2020-025610 BP,2020-02-18,single_family,2398,15539,Residential
2020-025608 BP,2020-02-18,single_family,2865,18565,Residential
2020-024952 BP,2020-02-18,single_family,2804,18170,Residential
2020-025601 BP,2020-02-18,single_family,2255,14612,Residential
2020-024975 BP,2020-02-18,single_family,3554,23030,Residential
2020-025387 BP,2020-02-18,single_family,3100,20088,Residential
2020-025604 BP,2020-02-18,single_family,2388,15474,Residential
2020-026117 BP,2020-02-18,single_family,2753,17839,Residential
2020-024757 BP,2020-02-14,single_family,2478,16057,Residential
2020-024928 BP,2020-02-14,single_family,2372,15371,Residential
2020-024929 BP,2020-02-14,single_family,2372,15371,Residential
2020-024760 BP,2020-02-14,single_family,2589,16777,Residential
2020-025394 BP,2020-02-14,single_family,1692,10964,Residential
2020-025403 BP,2020-02-14,single_family,2052,13297,Residential
2020-024926 BP,2020-02-14,single_family,3335,21611,Residential
2020-024922 BP,2020-02-14,single_family,1924,12468,Residential
2020-024754 BP,2020-02-14,single_family,2774,17976,Residential
2020-024500 BP,2020-02-14,single_family,1931,12513,Residential
2020-024887 BP,2020-02-14,single_family,2529,16388,Residential
2020-024311 BP,2020-02-13,single_family,2303,14923,Residential
2020-024327 BP,2020-02-13,single_family,1692,10964,Residential
2020-024319 BP,2020-02-13,single_family,3375,21870,Residential
2020-024324 BP,2020-02-13,multifamily,3910,66082,Residential
2020-024318 BP,2020-02-13,single_family,2353,15247,Residential
2020-024310 BP,2020-02-13,single_family,2127,13783,Residential
2020-024313 BP,2020-02-13,single_family,2505,16232,Residential
2020-020898 BP,2020-02-12,single_family,2722,17639,Residential
2020-020934 BP,2020-02-12,single_family,3125,20250,Residential
2020-020987 BP,2020-02-12,single_family,2650,17172,Residential
2020-021004 BP,2020-02-12,single_family,2807,18189,Residential
2020-020915 BP,2020-02-12,single_family,2687,17412,Residential
2020-019917 BP,2020-02-12,single_family,3558,23056,Residential
2020-020529 BP,2020-02-12,single_family,3713,24060,Residential
2020-020530 BP,2020-02-12,single_family,1969,12759,Residential
2020-020884 BP,2020-02-12,single_family,2722,17639,Residential
2020-020545 BP,2020-02-12,single_family,1931,12513,Residential
2020-020045 BP,2020-02-11,single_family,3039,19693,Residential
2020-019747 BP,2020-02-11,single_family,2711,17567,Residential
2020-019985 BP,2020-02-11,single_family,3040,19699,Residential
2020-020697 BP,2020-02-11,single_family,2722,17639,Residential
2020-020041 BP,2020-02-11,single_family,3039,19693,Residential
2020-020440 BP,2020-02-11,single_family,2043,13239,Residential
2020-019731 BP,2020-02-11,single_family,2088,13530,Residential
2020-019379 BP,2020-02-10,single_family,1616,10472,Residential
2020-019381 BP,2020-02-10,single_family,1753,11359,Residential
2020-019383 BP,2020-02-10,single_family,3707,24021,Residential
2020-018842 BP,2020-02-10,single_family,2966,19220,Residential
2020-018813 BP,2020-02-10,single_family,2388,15474,Residential
2020-019913 BP,2020-02-10,single_family,2445,15844,Residential
2020-018828 BP,2020-02-10,single_family,1975,12798,Residential
2020-019100 BP,2020-02-10,single_family,1957,12681,Residential
2020-019714 BP,2020-02-10,single_family,3179,20600,Residential
2020-018898 BP,2020-02-10,single_family,2762,17898,Residential
2020-019376 BP,2020-02-10,single_family,2175,14094,Residential
2020-020220 BP,2020-02-10,single_family,2715,17593,Residential
2020-019016 BP,2020-02-10,single_family,3202,20749,Residential
2020-019398 BP,2020-02-10,single_family,2749,17814,Residential
2020-019374 BP,2020-02-10,single_family,1766,11444,Residential
2020-018383 BP,2020-02-07,single_family,2095,13576,Residential
2020-018624 BP,2020-02-07,single_family,2156,13971,Residential
2020-018396 BP,2020-02-07,single_family,1706,11055,Residential
2020-018911 BP,2020-02-07,single_family,2311,14975,Residential
2020-018631 BP,2020-02-07,single_family,2513,16284,Residential
2020-018945 BP,2020-02-07,single_family,2765,17917,Residential
2020-018918 BP,2020-02-07,single_family,1923,12461,Residential
2020-018977 BP,2020-02-07,single_family,3062,19842,Residential
2020-018957 BP,2020-02-07,single_family,5267,34130,Residential
2020-018403 BP,2020-02-07,single_family,1619,10491,Residential
2020-018347 BP,2020-02-07,single_family,4871,31564,Residential
2020-018986 BP,2020-02-07,single_family,2350,15228,Residential
2020-019082 BP,2020-02-07,single_family,3685,23879,Residential
2020-018878 BP,2020-02-07,single_family,3805,24656,Residential
2020-018863 BP,2020-02-07,single_family,3253,21079,Residential
2020-018381 BP,2020-02-07,single_family,3574,23160,Residential
2020-018082 BP,2020-02-06,single_family,3707,24021,Residential
2020-017830 BP,2020-02-06,single_family,2627,17023,Residential
2020-015166 BP,2020-02-06,single_family,3391,21974,Residential
2020-016880 BP,2020-02-05,single_family,2863,18552,Residential
2020-017681 BP,2020-02-05,single_family,2189,14185,Residential
2020-016877 BP,2020-02-05,single_family,2693,17451,Residential
2020-016698 BP,2020-02-05,single_family,2388,15474,Residential
2020-016704 BP,2020-02-05,single_family,2388,15474,Residential
2020-016879 BP,2020-02-05,single_family,2800,18144,Residential
2020-016881 BP,2020-02-05,single_family,2693,17451,Residential
2020-017675 BP,2020-02-05,single_family,2434,15772,Residential
2020-016872 BP,2020-02-05,single_family,2697,17477,Residential
2020-017125 BP,2020-02-05,commercial_other,1195,17709,Commercial
2020-016878 BP,2020-02-05,single_family,2863,18552,Residential
2020-016711 BP,2020-02-05,single_family,2388,15474,Residential
2020-016379 BP,2020-02-04,single_family,2491,16142,Residential
2020-016380 BP,2020-02-04,adu_accessory,1266,11318,Residential
2020-016204 BP,2020-02-04,single_family,3598,23315,Residential
2020-016607 BP,2020-02-04,single_family,3075,19926,Residential
2020-016070 BP,2020-02-03,single_family,2544,16485,Residential
2020-016105 BP,2020-02-03,single_family,2868,18585,Residential
2020-016044 BP,2020-02-03,single_family,2191,14198,Residential
2020-016239 BP,2020-02-03,single_family,1957,12681,Residential
2020-016255 BP,2020-02-03,single_family,2716,17600,Residential
2020-016002 BP,2020-02-03,single_family,1984,12856,Residential
2020-016061 BP,2020-02-03,single_family,2670,17302,Residential
2020-016031 BP,2020-02-03,single_family,2670,17302,Residential
2020-016644 BP,2020-02-03,single_family,4075,26406,Residential
2020-016648 BP,2020-02-03,single_family,4264,27631,Residential
2020-015732 BP,2020-02-03,single_family,1866,12092,Residential
2020-015993 BP,2020-02-03,single_family,1892,12260,Residential
2020-016007 BP,2020-02-03,single_family,2353,15247,Residential
2020-016092 BP,2020-02-03,single_family,2993,19395,Residential
2020-016647 BP,2020-02-03,single_family,5225,33858,Residential
2020-015736 BP,2020-02-03,single_family,3403,22051,Residential
2020-015212 BP,2020-01-31,single_family,2321,15040,Residential
2020-014587 BP,2020-01-31,single_family,3554,23030,Residential
2020-014591 BP,2020-01-31,single_family,3393,21987,Residential
2020-014584 BP,2020-01-31,single_family,3393,21987,Residential
2020-015499 BP,2020-01-31,single_family,2820,18274,Residential
2020-015105 BP,2020-01-31,single_family,4082,26451,Residential
2020-014586 BP,2020-01-31,single_family,2558,16576,Residential
2020-015232 BP,2020-01-31,single_family,2156,13971,Residential
2020-013598 BP,2020-01-31,single_family,2937,19032,Residential
2020-015248 BP,2020-01-31,single_family,4147,26873,Residential
2020-015117 BP,2020-01-31,single_family,3648,23639,Residential
2020-015259 BP,2020-01-31,single_family,5051,32730,Residential
2020-012684 BP,2020-01-30,adu_accessory,1360,12158,Residential
2020-012832 BP,2020-01-29,single_family,2878,18649,Residential
2020-013134 BP,2020-01-29,single_family,2967,19226,Residential
2020-012853 BP,2020-01-29,single_family,3526,22848,Residential
2020-010262 BP,2020-01-29,single_family,2546,16498,Residential
2020-012847 BP,2020-01-29,single_family,3047,19745,Residential
2020-013128 BP,2020-01-29,single_family,2767,17930,Residential
2020-013085 BP,2020-01-29,single_family,3112,20166,Residential
2020-013125 BP,2020-01-29,single_family,2878,18649,Residential
2020-013129 BP,2020-01-29,single_family,2126,13776,Residential
2020-013048 BP,2020-01-29,single_family,2718,17613,Residential
2020-013135 BP,2020-01-29,single_family,2910,18857,Residential
2020-013071 BP,2020-01-29,single_family,3043,19719,Residential
2020-010179 BP,2020-01-28,single_family,3112,20166,Residential
2020-008742 BP,2020-01-28,single_family,2388,15474,Residential
2020-012366 BP,2020-01-28,single_family,2601,16854,Residential
2020-012357 BP,2020-01-28,single_family,1936,12545,Residential
2020-012633 BP,2020-01-28,single_family,2629,17036,Residential
2020-012296 BP,2020-01-28,multifamily,3784,63952,Residential
2020-012383 BP,2020-01-28,single_family,2733,17710,Residential
2020-012249 BP,2020-01-28,single_family,2503,16219,Residential
2020-010338 BP,2020-01-28,single_family,3116,20192,Residential
2020-012797 BP,2020-01-28,single_family,3549,22998,Residential
2020-010263 BP,2020-01-27,single_family,1300,8424,Residential
2020-011880 BP,2020-01-27,single_family,4532,29367,Residential
2020-012436 BP,2020-01-27,single_family,2505,16232,Residential
2020-011892 BP,2020-01-27,single_family,5568,36081,Residential
2020-012418 BP,2020-01-27,single_family,3805,24656,Residential
2020-010448 BP,2020-01-27,single_family,3307,21429,Residential
2020-004725 BP,2020-01-27,single_family,3391,21974,Residential
2020-010496 BP,2020-01-24,single_family,2998,19427,Residential
2020-010414 BP,2020-01-24,single_family,2191,14198,Residential
2020-009461 BP,2020-01-24,single_family,3266,21164,Residential
2020-009034 BP,2020-01-24,single_family,3039,19693,Residential
2020-010360 BP,2020-01-24,single_family,2966,19220,Residential
2020-011088 BP,2020-01-24,single_family,2353,15247,Residential
2020-010346 BP,2020-01-24,single_family,2241,14522,Residential
2020-007785 BP,2020-01-24,single_family,2851,18474,Residential
2020-010575 BP,2020-01-24,single_family,2353,15247,Residential
2020-010460 BP,2020-01-24,single_family,1984,12856,Residential
2020-007582 BP,2020-01-24,single_family,2807,18189,Residential
2020-010402 BP,2020-01-24,single_family,2388,15474,Residential
2020-011383 BP,2020-01-24,single_family,2723,17645,Residential
2020-009013 BP,2020-01-24,single_family,3169,20535,Residential
2020-010445 BP,2020-01-24,single_family,2519,16323,Residential
2020-010772 BP,2020-01-23,single_family,2782,18027,Residential
2020-010229 BP,2020-01-23,single_family,3151,20418,Residential
2020-010791 BP,2020-01-23,single_family,3043,19719,Residential
2020-010590 BP,2020-01-23,single_family,5170,33502,Residential
2020-010940 BP,2020-01-23,single_family,3075,19926,Residential
2020-010236 BP,2020-01-23,single_family,2136,13841,Residential
2020-010358 BP,2020-01-23,single_family,2330,15098,Residential
2020-010148 BP,2020-01-22,single_family,2745,17788,Residential
2020-009520 BP,2020-01-22,single_family,2172,14075,Residential
2020-010241 BP,2020-01-22,single_family,1967,12746,Residential
2020-009763 BP,2020-01-22,single_family,2445,15844,Residential
2020-010256 BP,2020-01-22,single_family,2662,17250,Residential
2020-006491 BP,2020-01-22,single_family,3524,22836,Residential
2020-009511 BP,2020-01-22,single_family,2715,17593,Residential
2020-009789 BP,2020-01-22,single_family,2711,17567,Residential
2020-010139 BP,2020-01-22,single_family,2753,17839,Residential
2020-008087 BP,2020-01-21,single_family,2381,15429,Residential
2020-008121 BP,2020-01-21,single_family,2774,17976,Residential
2020-009233 BP,2020-01-21,multifamily,3219,54403,Residential
2020-008114 BP,2020-01-21,single_family,2129,13796,Residential
2020-006945 BP,2020-01-21,single_family,1957,12681,Residential
2020-006530 BP,2020-01-21,single_family,3323,21533,Residential
2020-006874 BP,2020-01-21,single_family,2398,15539,Residential
2020-009048 BP,2020-01-21,single_family,4403,28531,Residential
2020-009393 BP,2020-01-21,single_family,2589,16777,Residential
2020-006604 BP,2020-01-21,single_family,3779,24488,Residential
2020-006643 BP,2020-01-21,single_family,3045,19732,Residential
2020-008722 BP,2020-01-21,single_family,2907,18837,Residential
2020-008107 BP,2020-01-21,single_family,2589,16777,Residential
2020-007827 BP,2020-01-17,single_family,2710,17561,Residential
2020-008033 BP,2020-01-17,single_family,2799,18138,Residential
2020-007884 BP,2020-01-17,single_family,2687,17412,Residential
2020-007551 BP,2020-01-17,single_family,2864,18559,Residential
2020-007866 BP,2020-01-17,single_family,1967,12746,Residential
2020-006817 BP,2020-01-16,single_family,2868,18585,Residential
2020-006839 BP,2020-01-16,single_family,2868,18585,Residential
2020-006904 BP,2020-01-16,single_family,2191,14198,Residential
2020-006940 BP,2020-01-16,single_family,2993,19395,Residential
2020-007316 BP,2020-01-16,single_family,3731,24177,Residential
2020-007266 BP,2020-01-16,single_family,3335,21611,Residential
2020-006929 BP,2020-01-16,single_family,2865,18565,Residential
2020-006799 BP,2020-01-16,single_family,2398,15539,Residential
2020-006855 BP,2020-01-16,single_family,2528,16381,Residential
2020-006970 BP,2020-01-16,single_family,2674,17328,Residential
2020-006795 BP,2020-01-16,single_family,1866,12092,Residential
2020-006468 BP,2020-01-15,single_family,6775,43902,Residential
2020-006500 BP,2020-01-15,single_family,2864,18559,Residential
2020-006680 BP,2020-01-15,single_family,2674,17328,Residential
2020-006558 BP,2020-01-15,single_family,2357,15273,Residential
2020-006524 BP,2020-01-15,single_family,2044,13245,Residential
2020-005556 BP,2020-01-14,single_family,4109,26626,Residential
2020-005014 BP,2020-01-14,single_family,1692,10964,Residential
2020-005676 BP,2020-01-14,single_family,1692,10964,Residential
2020-004901 BP,2020-01-14,single_family,3383,21922,Residential
2020-004718 BP,2020-01-14,single_family,3403,22051,Residential
2020-004373 BP,2020-01-14,commercial_other,28459,421752,Commercial
2020-003878 BP,2020-01-14,single_family,2388,15474,Residential
2020-004967 BP,2020-01-14,single_family,1411,9143,Residential
2020-004999 BP,2020-01-13,single_family,1866,12092,Residential
2020-004925 BP,2020-01-13,single_family,4006,25959,Residential
2020-004946 BP,2020-01-13,single_family,2052,13297,Residential
2020-003985 BP,2020-01-10,single_family,3039,19693,Residential
2020-003821 BP,2020-01-10,single_family,3042,19712,Residential
2020-003981 BP,2020-01-10,single_family,3169,20535,Residential
2020-003852 BP,2020-01-10,single_family,2745,17788,Residential
2020-003896 BP,2020-01-10,single_family,3205,20768,Residential
2020-003974 BP,2020-01-10,single_family,2861,18539,Residential
2020-003991 BP,2020-01-10,single_family,2518,16317,Residential
2020-003691 BP,2020-01-09,single_family,2581,16725,Residential
2020-002710 BP,2020-01-09,single_family,2868,18585,Residential
2020-001536 BP,2020-01-08,single_family,1957,12681,Residential
2020-001479 BP,2020-01-08,single_family,2191,14198,Residential
2020-001516 BP,2020-01-08,single_family,2519,16323,Residential
2020-001663 BP,2020-01-08,single_family,2191,14198,Residential
2020-002764 BP,2020-01-08,single_family,2674,17328,Residential
2020-001632 BP,2020-01-08,single_family,2388,15474,Residential
2020-000622 BP,2020-01-03,single_family,2172,14075,Residential
2020-057654 BP,2020-04-10,single_family,2052,13297,Residential
2020-056364 BP,2020-04-10,adu_accessory,1348,12051,Residential
2020-052092 BP,2020-04-10,single_family,2139,13861,Residential
2020-052093 BP,2020-04-10,single_family,2139,13861,Residential
2020-052903 BP,2020-04-10,single_family,1866,12092,Residential
2020-057535 BP,2020-04-10,single_family,2127,13783,Residential
2020-052103 BP,2020-04-10,single_family,2139,13861,Residential
2020-057684 BP,2020-04-10,single_family,2127,13783,Residential
2020-052102 BP,2020-04-10,single_family,2139,13861,Residential
2020-052100 BP,2020-04-10,single_family,2141,13874,Residential
2020-052094 BP,2020-04-10,single_family,2139,13861,Residential
2020-052101 BP,2020-04-10,single_family,2139,13861,Residential
2020-050050 BP,2020-04-10,single_family,2166,14036,Residential
2020-050051 BP,2020-04-10,adu_accessory,1208,10800,Residential
2020-052104 BP,2020-04-10,single_family,2139,13861,Residential
2020-056678 BP,2020-04-09,single_family,1919,12435,Residential
2020-055314 BP,2020-04-09,adu_accessory,1320,11801,Residential
2020-056657 BP,2020-04-09,single_family,1919,12435,Residential
2020-055257 BP,2020-04-09,multifamily,5191,87732,Residential
2020-056659 BP,2020-04-09,single_family,1846,11962,Residential
2020-055313 BP,2020-04-09,single_family,1795,11632,Residential
2020-038372 BP,2020-04-09,single_family,3398,22019,Residential
2020-057055 BP,2020-04-09,single_family,3169,20535,Residential
2020-057283 BP,2020-04-09,single_family,1692,10964,Residential
2020-052784 BP,2020-04-09,single_family,1341,8690,Residential
2020-056842 BP,2020-04-09,single_family,3710,24041,Residential
2020-038373 BP,2020-04-09,adu_accessory,1493,13347,Residential
2020-057118 BP,2020-04-09,single_family,2052,13297,Residential
2020-055423 BP,2020-04-08,single_family,2390,15487,Residential
2020-055724 BP,2020-04-08,single_family,2388,15474,Residential
2020-052251 BP,2020-04-08,single_family,3104,20114,Residential
2020-056211 BP,2020-04-08,single_family,2009,13018,Residential
2020-053261 BP,2020-04-08,single_family,2848,18455,Residential
2020-056839 BP,2020-04-08,single_family,4600,29808,Residential
2020-056377 BP,2020-04-08,single_family,2868,18585,Residential
2020-055733 BP,2020-04-08,single_family,1959,12694,Residential
2020-056132 BP,2020-04-08,single_family,1344,8709,Residential
2020-055548 BP,2020-04-08,single_family,1957,12681,Residential
2020-054583 BP,2020-04-08,single_family,2558,16576,Residential
2020-056376 BP,2020-04-08,single_family,2865,18565,Residential
2020-056081 BP,2020-04-08,single_family,2233,14470,Residential
2020-054563 BP,2020-04-08,single_family,1344,8709,Residential
2020-056254 BP,2020-04-08,single_family,2230,14450,Residential
2020-056374 BP,2020-04-08,single_family,2868,18585,Residential
2020-055715 BP,2020-04-08,single_family,1,6,Residential
2020-056277 BP,2020-04-08,single_family,2868,18585,Residential
2020-048543 BP,2020-04-07,single_family,3731,24177,Residential
2020-055456 BP,2020-04-07,multifamily,4787,80904,Residential
2020-055897 BP,2020-04-07,single_family,2025,13122,Residential
2020-051114 BP,2020-04-07,single_family,2393,15507,Residential
2020-055896 BP,2020-04-07,single_family,2025,13122,Residential
2020-052679 BP,2020-04-07,single_family,3857,24993,Residential
2020-052555 BP,2020-04-06,single_family,2385,15455,Residential
2020-055439 BP,2020-04-06,single_family,2127,13783,Residential
2020-054390 BP,2020-04-06,single_family,2390,15487,Residential
2020-054374 BP,2020-04-06,single_family,1968,12753,Residential
2020-052556 BP,2020-04-06,adu_accessory,1346,12033,Residential
2020-055555 BP,2020-04-06,single_family,2127,13783,Residential
2020-053802 BP,2020-04-06,single_family,9615,62305,Residential
2020-054912 BP,2020-04-06,adu_accessory,1280,11443,Residential
2020-054360 BP,2020-04-06,single_family,1876,12156,Residential
2020-054911 BP,2020-04-06,single_family,2165,14029,Residential
2020-046791 BP,2020-04-03,single_family,3682,23859,Residential
2020-053690 BP,2020-04-03,single_family,2944,19077,Residential
2020-054616 BP,2020-04-03,adu_accessory,931,8323,Residential
2020-054196 BP,2020-04-03,single_family,6763,43824,Residential
2020-054615 BP,2020-04-03,single_family,2437,15792,Residential
